id,title,first_name,last_name,suffix,party,municipality,role
128391,Dhr.,K.,Timmermans,,De Gewone Man,Gemeente Oirschot,Fractievoorzitter
123778,Mw.,I.,Sollewijn Gelpke-Uppelschoten,,VVD,Gemeente Oirschot,Fractievoorzitter
84126,Dhr.,E.,Verkaik,,Inwonersbelangen Montfoort Linschoten,Gemeente Montfoort,Fractievoorzitter
129232,Dhr. drs.,H.J.S.M.,Broers,,PvdA,Gemeente Brunssum,Fractievoorzitter
120357,Dhr.,R.E.,Lapperre,,PvdA,Gemeente Best,Fractievoorzitter
118931,Mw.,E.A.J.,Eenhuizen,,GroenLinks,Gemeente Moerdijk,Fractievoorzitter
115587,Dhr.,C.P.W.J.,Genders,,VVD,Gemeente Leusden,Fractievoorzitter
133199,Dhr.,I.G.,Mostert,,ChristenUnie,Gemeente Katwijk,Fractievoorzitter
123705,Mw.,M.E.B.,van der Ven,,CDA,Gemeente Aa en Hunze,Fractievoorzitter
128973,Dhr.,M.J.M.,van Nijnatten,,PvdA,Gemeente Nijmegen,Fractievoorzitter
97366,Dhr.,J.R.,van der Sloot BCom,,SP,Gemeente Capelle aan den IJssel,Fractievoorzitter
131714,Dhr.,R.,Reichrath,,PvdA,Gemeente Landgraaf,Fractievoorzitter
128475,Dhr.,E.R.,Helvrich,,PvdA,Gemeente Harlingen,Fractievoorzitter
134808,Dhr.,M.M.,Hendriks,,Samen Beter Nieuwkoop,Gemeente Nieuwkoop,Fractievoorzitter
125345,Mw.,M.P.A.,Mol-Sturkenboom,,DorpsGoed,Gemeente Sint-Michielsgestel,Fractievoorzitter
125016,Dhr.,A.,Strop,,CDA,Gemeente Alblasserdam,Fractievoorzitter
38759,Dhr.,A.W.,Boer,,Leefbaar Purmerend 2001,Gemeente Purmerend,Fractievoorzitter
96384,Dhr.,F.A.J.,Nederstigt,,ChristenUnie,Gemeente Teylingen,Fractievoorzitter
20261985,Dhr.,C.A.,Roovers,,WOS,Gemeente Halderberge,Fractievoorzitter
120115,Dhr.,P.A.,Vreugdenhil,,CDA,Gemeente Westland,Fractievoorzitter
120120,Dhr.,P.J.L.J.,Duijsens,,Westland Verstandig,Gemeente Westland,Fractievoorzitter
120117,Dhr.,R.K.,Keizer,,GemeenteBelang Westland,Gemeente Westland,Fractievoorzitter
116210,Dhr.,A.,Van Opzeeland,,PvdA,Gemeente Oosterhout,Fractievoorzitter
