system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role
133696,Dhr.,J.J.H.,,,Swart,,KIES Lokaal,,Bergen NH,Raadslid
41098,Dhr.,J.A.M.,,,Haring,,Gemeentebelangen BES,,Bergen NH,Raadslid
120848,Mw.,W.A.T.,,,Grooteman,,CDA,,Bergen NH,Raadslid
126480,Dhr.,P.K.H.M.M.,,,Ooijevaar,,CDA,,Bergen NH,Raadslid
120850,Dhr.,M.S.,,,Wals,,D66,,Bergen NH,Raadslid
126481,Dhr.,A.H.,,,van der Leij,,PvdA,,Bergen NH,Raadslid
120849,Dhr.,J.M.,,,Halff,,D66,,Bergen NH,Raadslid
41108,Mw.,K.,,,Kindt,,PvdA,,Bergen NH,Raadslid
130771,Mw.,F.M.,,,OuÃ«ndag,,GroenLinks,,Bergen NH,Raadslid
120854,Dhr.,L.J.,,,Damink,,KIES Lokaal,,Bergen NH,Raadslid
120856,Dhr.,R.J.,,,Karels,,KIES Lokaal,,Bergen NH,Raadslid
120855,Dhr.,M.J.,,,Smook,,KIES Lokaal,,Bergen NH,Raadslid
120858,Mw.,J.L.,,,Luttik-Swart,,KIES Lokaal,,Bergen NH,Raadslid
